gx,gy,x_center,y_center,total_hits,entropy_bits,normalized_entropy,dominant_share,share_stem,share_bulk,share_left,share_right
77,12,0.875000,0.625000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,12,0.925000,0.625000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,12,0.975000,0.625000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,12,1.025000,0.625000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,12,1.075000,0.625000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,12,1.125000,0.625000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,13,0.025000,0.675000,55,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
62,13,0.125000,0.675000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,13,0.225000,0.675000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,13,0.275000,0.675000,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
72,13,0.625000,0.675000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,13,0.675000,0.675000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,13,0.725000,0.675000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,13,0.775000,0.675000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,13,0.825000,0.675000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,13,0.875000,0.675000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,13,0.925000,0.675000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,13,0.975000,0.675000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,13,1.025000,0.675000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,13,1.075000,0.675000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
