candidate_id,status,selected_rank,score,lambda_max,occupancy,span_x,span_y,aspect_ratio,min_x,max_x,min_y,max_y,a0,a1,a2,a3,a4,a5,b0,b1,b2,b3,b4,b5
225,collapsed,,0.000000,-0.800096,0.000000,0.000000,0.000000,0.000000,0.837838,0.837838,-0.300050,-0.300050,0.647225,0.001016,-0.074847,-0.027002,-1.004383,-0.731433,-0.056140,-0.607072,0.312343,0.531810,-0.728810,-0.439025
226,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.063003,0.435070,0.067197,0.592054,-0.487831,0.988378,-0.631733,-0.420890,-0.665041,-0.560976,0.091334,-0.068463
227,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.797850,0.729285,0.130999,-0.635413,0.878883,0.120203,-0.050152,0.840337,-1.054071,0.748324,-0.512003,-0.177437
228,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.353225,-0.069669,-0.134137,-0.013490,-0.495083,-0.692153,-0.467526,-1.063639,0.146821,-0.462981,0.136096,-0.650131
229,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.253648,0.907252,0.994668,-0.797468,0.446849,-0.815572,0.461051,1.158402,-0.691278,0.359072,0.132012,-0.925822
230,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550291,-0.187770,0.459539,-0.874419,-0.108634,-0.215891,0.705424,-0.498120,0.628874,-1.079563,0.508913,1.098103
231,accepted,,0.023294,0.090244,0.258125,1.390186,2.396016,0.580207,-0.758840,0.631346,-1.395225,1.000791,0.059203,-1.076057,-0.134689,-0.780453,-0.292775,-0.040259,0.267000,0.705587,-0.754226,-0.541853,-0.989909,-0.674085
232,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062352,0.342439,0.702683,-0.548901,0.619781,-0.975347,-0.529234,1.131371,0.646812,0.219931,-0.101488,-0.825817
233,collapsed,,0.000000,-0.236963,0.000000,0.000000,0.000000,0.000000,-0.061143,-0.061143,0.034974,0.034974,-0.145550,-0.869750,0.488112,-0.064975,0.878414,-1.191920,0.002706,-0.538520,0.986370,0.070573,-0.139315,0.553343
234,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.120886,-1.109444,0.299136,-0.068450,0.671019,-0.238369,0.922286,1.127303,1.082364,0.238235,-0.711905,0.370803
235,accepted,5,0.037647,0.092244,0.408125,1.387277,0.779247,0.561709,0.461097,1.848374,0.146388,0.925635,1.048956,-0.559567,-0.309724,1.092196,0.749140,0.225606,-0.124198,1.188169,-0.984290,1.038284,0.810519,-0.938149
236,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.092941,0.610926,0.317987,-0.393899,-0.802363,-0.895058,-0.620198,-0.781772,-1.147128,0.005433,-0.480221,0.994781
237,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.779855,-0.499033,0.637867,-0.554059,-0.827964,0.536223,0.464031,0.105181,0.696145,0.103256,1.152442,0.027862
238,collapsed,,0.000000,-0.764474,0.000000,0.000000,0.000000,0.000000,-0.288818,-0.288818,-0.512833,-0.512833,-0.068144,-0.180974,-0.332339,-0.912502,0.044113,-0.332485,-0.352592,-0.386742,-0.186037,-0.260540,0.669348,0.476938
239,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.028378,0.192006,-0.575855,-0.654751,-0.037003,0.710784,0.984907,0.804142,0.410325,-0.444905,0.248889,0.915251
240,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.446934,-0.208657,0.454119,-1.115289,0.250601,-0.258831,1.022485,1.026793,-0.979188,-0.984165,0.157433,1.019839
241,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.156376,-0.342010,0.352982,-0.449661,0.168936,-0.516965,-1.057731,1.149620,0.845726,-0.017210,1.066173,0.127673
242,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049449,0.571226,0.516080,0.606624,-1.092797,-1.067684,-1.117185,-0.082128,-0.813251,0.089274,0.910274,0.055747
243,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.182237,0.165244,1.011171,-0.352914,-1.190774,0.370060,-0.919093,-0.685095,-1.065849,0.166268,0.919905,0.386127
244,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038606,0.456430,-0.908102,0.540837,0.696039,-0.352370,-0.789712,-0.307082,-0.533448,-0.818445,0.499769,0.100539
245,collapsed,,0.000000,-0.014961,0.000000,0.000000,0.000000,0.000000,0.082513,0.082513,0.418370,0.418370,0.251802,-0.756922,0.706083,-0.139791,-0.308301,0.126663,0.715555,-1.025081,0.088110,-0.218114,-0.839318,0.831117
246,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.600652,-0.294234,0.920209,0.831587,-0.820335,-1.177355,0.822952,-0.567982,0.875616,0.021569,0.729033,0.756564
247,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.664080,0.463083,0.583254,0.878454,-0.527921,-1.064957,-0.011316,-0.594902,0.703166,0.993040,-1.166410,0.842369
248,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.377925,0.752290,-0.981052,-0.173524,-0.970939,-0.816778,0.950917,0.477777,-0.713151,0.170746,0.327181,-1.179465
249,collapsed,,0.000000,-0.113529,0.001875,1.021133,0.259343,0.253975,-0.638021,0.383112,-0.809181,-0.549838,0.071536,-0.328707,0.818887,0.471599,0.791431,0.126444,-0.518937,0.543142,-1.069830,0.933184,-0.389796,-0.165071
250,collapsed,,0.000000,-0.253802,0.000000,0.000000,0.000000,0.000000,-0.169256,-0.169256,0.131954,0.131954,0.134084,1.062020,0.331933,-0.650251,-1.157432,0.293438,0.192892,0.490639,-0.140420,-0.848867,0.034020,0.153957
251,collapsed,,0.000000,-0.121161,0.000000,0.000000,0.000000,0.000000,-0.806671,-0.806671,-0.196147,-0.196147,-0.570207,0.799333,0.457803,-0.073343,-0.625453,-0.016660,0.748334,1.073930,-0.381072,0.991898,-0.244468,-0.912268
