frame,span,escape_fraction,mean_smooth_iter,percentile90,slow_tail_share
1,1.6,0.319523809524,18.5942709444,31.4501117897,0.00397416790859
2,0.64,0.111567460317,48.2069604891,111.989492495,0.0245420593989
3,0.256,0.18996031746,54.474972483,127.483062883,0.0280969291832
4,0.1024,0.443869047619,57.1950376559,136.13592551,0.0290107728756
5,0.04096,0.589067460317,56.8078327695,146.680989829,0.0346256189161
6,0.016384,0.78880952381,78.4237691678,195.711751653,0.0504326390985
